epoch,total_loss,adversarial_loss,similarity_loss,validity_rate,molecular_change_rate,learning_rate,timestamp
0,2.0927977561950684,0.7040471349443708,0.23237423385892594,0.9872864906832298,98.71003499219191,0.0001,2025-07-05T10:34:23.491287
1,2.1195797409330095,0.7219893676894051,0.2224789219243186,0.9823854813664596,93.88936690022183,0.0001,2025-07-05T10:52:46.825939
2,2.1285031523023332,0.7052933147975377,0.2231030719620841,0.9877232142857143,88.41183074415838,0.0001,2025-07-05T11:08:59.712836
3,2.1323507513318742,0.7218346340315682,0.21358036143439157,0.9832589285714286,85.04770868570984,0.0001,2025-07-05T11:24:16.061287
4,2.058899062020438,0.6892924308776855,0.2055139754499708,0.985733695652174,80.70305497527093,0.0001,2025-07-05T11:40:51.665322
5,2.0159588200705394,0.674189840044294,0.20117337788854325,0.9895186335403726,75.52212511897551,0.0001,2025-07-05T11:55:17.137218
6,2.0569885798863004,0.6864979352269854,0.20603891355650766,0.9901979813664596,67.66290095434499,0.0001,2025-07-05T12:09:29.016587
7,2.0150297028677806,0.6705919333866665,0.19819412061146327,0.9830648291925466,63.42172332792269,0.0001,2025-07-05T12:23:13.041529
8,1.9770375830786568,0.6643544776099068,0.18905402719974518,0.9890819099378882,60.07176558287357,0.0001,2025-07-05T12:37:15.560302
9,2.041008847100394,0.698091413293566,0.17954762492861068,0.9917507763975155,57.121695210488795,0.0001,2025-07-05T12:54:17.612210
10,2.0419953550611223,0.6960180827549526,0.17195857848439897,0.9921875,53.41421485260771,0.0001,2025-07-05T13:08:18.175973
11,1.9822545392172677,0.6680368866239276,0.16497053418840682,0.9966517857142857,51.5291821538612,0.0001,2025-07-05T13:23:05.147170
12,1.9851442745753698,0.6603772469929287,0.1645368401493345,0.9917507763975155,48.872381894914234,0.0001,2025-07-05T13:38:28.912546
13,1.974453636578151,0.6714727282524109,0.1530522299664361,0.9917507763975155,46.46024780041231,0.0001,2025-07-05T13:51:56.170306
14,1.9816940001079015,0.6723189609391349,0.14918855684144156,0.9910714285714286,43.62591807235276,0.0001,2025-07-05T14:05:19.091847
15,2.052530254636492,0.7013558745384216,0.14035817980766296,0.9924301242236025,44.95131467941507,0.0001,2025-07-10T13:55:12.584751
16,2.015435423169817,0.6778226069041661,0.14098745797361648,0.9933035714285714,43.85704819700332,0.0001,2025-07-10T14:07:18.349211
17,2.0008150850023543,0.6768798828125,0.1336903316634042,0.9928668478260869,42.973913769020626,0.0001,2025-07-10T14:18:09.411057
18,2.035352894238063,0.6880770581109183,0.1288747223360198,0.9928668478260869,40.383693667755814,0.0001,2025-07-10T14:30:02.288672
19,2.0214738164629256,0.6780570575169155,0.12804901812757766,0.990634704968944,38.493024618488626,5e-05,2025-07-10T14:41:34.978578
